SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1445.00,1458.20,1405.20,1421.00,1421.00,1444.55,1421,18288,26004612.00,
500003,AEGIS LOGIS ,A ,Q,295.00,310.80,295.00,302.45,304.00,297.95,828,14497,4360710.00,
500008,AMAR RAJA BA,A ,Q,1000.00,1009.20,975.15,983.10,985.65,990.90,2183,59886,59184695.00,
500009,A.SARABHAI  ,X ,Q,21.20,22.50,20.65,21.20,21.00,20.80,286,76928,1650213.00,
500010,HDFC        ,A ,Q,2735.00,2767.00,2735.00,2758.65,2758.65,2770.50,3841,57757,159001971.00,
500012,ANDHRA PETRO,X ,Q,52.80,52.80,50.10,51.50,51.50,51.60,431,82256,4225076.00,
500013,ANSAL INFRAS,B ,Q,7.11,7.11,7.11,7.11,7.11,6.78,17,20284,144219.00,
500014,UTIQUE      ,X ,Q,1.79,1.79,1.75,1.75,1.75,1.79,11,2906,5151.00,
500016,ARUNAHTEL   ,XT,Q,6.30,6.30,6.30,6.30,6.30,6.00,1,100,630.00,
500020,BOM DYEING  ,A ,Q,72.00,74.75,72.00,73.20,73.20,72.75,735,145984,10755801.00,
500023,ASIANHOTNR  ,B ,Q,70.80,71.70,70.80,71.30,71.30,70.80,14,455,32454.00,
500027,ATUL LTD.   ,A ,Q,6283.00,6530.75,6283.00,6515.15,6517.95,6335.95,315,996,6443870.00,
500028,ATV PROJECTS,XT,Q,4.80,5.15,4.80,4.94,5.00,4.96,34,7720,38641.00,
500029,AUTOLITE(I) ,Z ,Q,28.65,28.65,28.30,28.35,28.30,28.75,6,400,11373.00,
500031,BAJAJ ELECT.,A ,Q,1049.00,1123.70,1025.00,1055.70,1055.70,1021.55,5896,132733,144248103.00,
500032,BAJAJHIND   ,A ,Q,6.48,6.52,6.36,6.40,6.40,6.46,783,497645,3198339.00,
500033,FORCE MOTR  ,A ,Q,1427.00,1427.00,1405.00,1410.50,1405.00,1409.40,404,3131,4428966.00,
500034,BAJFINANCE  ,A ,Q,5470.00,5588.00,5455.40,5566.35,5566.35,5478.85,10459,113279,628854047.00,
500038,BALRAM.CHINI,A ,Q,160.00,162.50,158.00,158.95,158.95,158.75,514,50663,8093142.00,
500039,BANCO PROD. ,B ,Q,165.00,165.15,148.55,157.60,157.60,170.80,2937,167785,26572454.00,
500040,CENTURY TEXT,A ,Q,459.35,467.50,452.55,455.45,455.45,456.15,868,23278,10733316.00,
500041,BANNARI AMAN,A ,Q,1600.00,1635.00,1600.00,1628.65,1635.00,1589.45,114,564,916177.00,
500042,BASF INDIA  ,A ,Q,1765.00,2000.00,1765.00,1925.50,1925.50,1765.95,3772,25958,49180340.00,
500043,BATA INDIA  ,A ,Q,1495.00,1542.55,1462.20,1531.50,1531.50,1569.50,18776,241292,363198514.00,
500048,BEML LTD    ,A ,Q,980.80,983.80,964.00,967.70,967.70,979.30,915,16693,16244343.00,
500049,BHARAT ELECT,A ,Q,139.95,140.50,134.65,135.35,135.35,140.00,5732,1610877,223716502.00,
500052,BHANSALI ENG,A ,Q,143.60,144.35,138.05,139.05,139.05,140.80,2557,261717,36670031.00,
500055,TATASTLBSL  ,B ,Q,43.50,44.30,43.10,44.15,44.15,43.40,953,345103,15100874.00,
500060,BIRLACABLE  ,B ,Q,68.50,68.50,63.25,64.95,65.20,63.45,194,6519,427112.00,
500067,BLUE STAR   ,A ,Q,816.00,834.35,809.05,826.15,820.00,815.70,1624,15532,12825310.00,
500068,DISA INDIA  ,X ,Q,4000.00,4019.00,3853.00,3999.25,3988.65,4015.00,45,526,2098051.00,
500069,BNK CAPITAL ,X ,Q,110.05,113.25,110.00,110.60,110.60,111.80,61,11833,1314390.00,
500074,BPL LTD.    ,B ,Q,22.75,22.75,21.50,21.70,21.60,22.25,236,29292,649505.00,
500078,OAL         ,B ,Q,597.85,603.20,590.00,594.30,591.80,595.60,708,3925,2348740.00,
500083,CENTURY EXT ,B ,Q,4.59,4.81,4.55,4.76,4.76,4.66,91,41214,195369.00,
500084,CESC LTD.   ,A ,Q,618.00,632.90,609.40,620.65,620.65,617.15,1634,63676,39902847.00,
500085,CHAMBAL FERT,A ,Q,239.00,245.05,232.80,242.85,242.85,233.40,1376,85281,20517804.00,
500086,EXIDE IND.  ,A ,Q,214.45,215.25,211.60,212.35,212.35,214.45,1592,310817,66535984.00,
500087,CIPLA LTD.  ,A ,Q,866.00,874.55,856.60,859.80,859.80,863.55,5355,211815,182605051.00,
500089,DIC INDIA   ,B ,Q,396.55,398.50,396.55,398.50,398.50,394.20,5,17,6762.00,
500092,CRISIL LTD  ,A ,Q,1919.00,1933.85,1886.20,1900.20,1901.95,1920.75,561,3425,6529835.00,
500093,CGPOWER     ,B ,Q,45.30,46.40,44.50,45.80,45.80,45.30,1385,378154,17308911.00,
500096,DABUR (I)   ,A ,Q,528.70,536.50,525.00,535.75,535.75,524.50,1987,123799,66064521.00,
500097,DALMIASUG   ,A ,Q,142.00,143.20,140.15,141.10,141.00,141.70,139,4797,678456.00,
500101,ARVIND Ltd  ,A ,Q,61.55,68.30,60.25,66.20,66.20,61.55,10811,1224941,80385929.00,
500102,BALARPUR IND,Z ,Q,1.35,1.36,1.26,1.28,1.28,1.32,521,2791165,3616381.00,
500103,BHEL        ,A ,Q,38.45,39.15,38.00,38.75,38.75,38.25,3163,2149177,83150203.00,
500104,HIND.PETRO  ,A ,Q,225.40,228.30,223.95,227.25,227.00,225.25,4847,439944,99597230.00,
500106,IFCI LTD    ,A ,Q,9.05,9.15,8.90,9.03,9.03,9.01,22835,433050,3909459.00,
500108,MAHA.TELE   ,B ,Q,12.90,13.25,12.85,12.97,12.97,12.90,5024,104736,1363200.00,
500109,MRPL        ,A ,Q,34.65,35.80,34.65,35.20,35.20,34.85,354,74306,2619609.00,
500110,CHENNAI PET.,A ,Q,94.60,98.00,93.25,96.50,96.50,94.65,801,111240,10661559.00,
500111,REL.CAP.    ,B ,Q,10.00,10.30,10.00,10.10,10.12,10.07,761,255539,2592393.00,
500112,STATE BANK  ,A ,Q,392.05,396.90,388.25,390.15,390.15,392.05,15611,1639684,642226333.00,
