Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
530965,IOC,INDIAN OIL CORPORATION LTD.,27 Aug 2001,Dividend - Rs. - 9.5000,-,10 Sep 2001,24 Sep 2001,27 Aug 2001,07 Sep 2001,-
530965,IOC,INDIAN OIL CORPORATION LTD.,10 Sep 2007,Final Dividend - Rs. - 13.0000,-,12 Sep 2007,24 Sep 2007,05 Sep 2007,11 Sep 2007,-
530965,IOC,INDIAN OIL CORPORATION LTD.,09 Sep 2008,Dividend - Rs. - 5.5000,-,11 Sep 2008,19 Sep 2008,04 Sep 2008,10 Sep 2008,-
530965,IOC,INDIAN OIL CORPORATION LTD.,02 Sep 2009,Dividend - Rs. - 7.5000,-,04 Sep 2009,14 Sep 2009,28 Aug 2009,03 Sep 2009,-
530965,IOC,INDIAN OIL CORPORATION LTD.,29 Oct 2009,Bonus issue 1:1,30 Oct 2009,-,-,23 Oct 2009,29 Oct 2009,-
530965,IOC,INDIAN OIL CORPORATION LTD.,08 Sep 2010,Dividend - Rs. - 13.0000,-,13 Sep 2010,21 Sep 2010,03 Sep 2010,09 Sep 2010,-
530965,IOC,INDIAN OIL CORPORATION LTD.,15 Sep 2011,Dividend - Rs. - 9.5000,-,19 Sep 2011,27 Sep 2011,12 Sep 2011,16 Sep 2011,-
530965,IOC,INDIAN OIL CORPORATION LTD.,05 Sep 2012,Dividend - Rs. - 5.0000,-,07 Sep 2012,14 Sep 2012,31 Aug 2012,05 Sep 2012,-
530965,IOC,INDIAN OIL CORPORATION LTD.,22 Aug 2013,Dividend - Rs. - 6.2000,-,26 Aug 2013,03 Sep 2013,19 Aug 2013,23 Aug 2013,-
530965,IOC,INDIAN OIL CORPORATION LTD.,14 Aug 2014,Dividend - Rs. - 8.7000,-,20 Aug 2014,27 Aug 2014,11 Aug 2014,19 Aug 2014,-
530965,IOC,INDIAN OIL CORPORATION LTD.,04 Sep 2015,Dividend - Rs. - 6.6000,-,08 Sep 2015,15 Sep 2015,01 Sep 2015,07 Sep 2015,-
530965,IOC,INDIAN OIL CORPORATION LTD.,23 Feb 2016,Interim Dividend - Rs. - 5.5000,24 Feb 2016,-,-,16 Feb 2016,23 Feb 2016,-
530965,IOC,INDIAN OIL CORPORATION LTD.,02 Sep 2016,Final Dividend - Rs. - 8.5000,-,07 Sep 2016,14 Sep 2016,30 Aug 2016,06 Sep 2016,-
530965,IOC,INDIAN OIL CORPORATION LTD.,18 Oct 2016,Bonus issue 1:1,19 Oct 2016,-,-,10 Oct 2016,18 Oct 2016,-
530965,IOC,INDIAN OIL CORPORATION LTD.,09 Feb 2017,Interim Dividend - Rs. - 13.5000,10 Feb 2017,-,-,03 Feb 2017,09 Feb 2017,-
530965,IOC,INDIAN OIL CORPORATION LTD.,24 Mar 2017,Interim Dividend - Rs. - 4.5000,27 Mar 2017,-,-,-,-,-
530965,IOC,INDIAN OIL CORPORATION LTD.,18 Aug 2017,Final Dividend - Rs. - 1.0000,-,22 Aug 2017,29 Aug 2017,11 Aug 2017,21 Aug 2017,-
530965,IOC,INDIAN OIL CORPORATION LTD.,08 Feb 2018,Interim Dividend - Rs. - 19.0000,09 Feb 2018,-,-,02 Feb 2018,08 Feb 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,15 Mar 2018,Bonus issue 1:1,17 Mar 2018,-,-,12 Mar 2018,15 Mar 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,20 Aug 2018,Final Dividend - Rs. - 2.0000,-,23 Aug 2018,29 Aug 2018,13 Aug 2018,21 Aug 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,21 Dec 2018,Interim Dividend - Rs. - 6.7500,25 Dec 2018,-,-,18 Dec 2018,21 Dec 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,21 Dec 2018,Buy Back of Shares ,25 Dec 2018,-,-,18 Dec 2018,21 Dec 2018,-
530965,IOC,INDIAN OIL CORPORATION LTD.,27 Mar 2019,Interim Dividend - Rs. - 1.5000,28 Mar 2019,-,-,20 Mar 2019,27 Mar 2019,-
530965,IOC,INDIAN OIL CORPORATION LTD.,21 Aug 2019,Final Dividend - Rs. - 1.0000,-,23 Aug 2019,28 Aug 2019,16 Aug 2019,22 Aug 2019,-
530965,IOC,INDIAN OIL CORPORATION LTD.,23 Mar 2020,Interim Dividend - Rs. - 4.2500,25 Mar 2020,-,-,18 Mar 2020,23 Mar 2020,-
530965,IOC,INDIAN OIL CORPORATION LTD.,09 Feb 2021,Interim Dividend - Rs. - 7.5000,10 Feb 2021,-,-,03 Feb 2021,09 Feb 2021,-
