DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
12022021,500002,8453,12469443,17223,24950530,49.08
12022021,500003,6166,1826061,11074,3335627,55.68
12022021,500008,10403,10299491,42521,41757960,24.47
12022021,500009,29288,625299,46839,993053,62.53
12022021,500010,39675,110707137,104005,289840680,38.15
12022021,500012,56891,2924198,77582,4044719,73.33
12022021,500013,142911,1066117,190808,1422799,74.9
12022021,500014,7145,12861,7145,12902,100.0
12022021,500016,157,942,157,942,100.0
12022021,500020,50113,3628182,109788,8007150,45.65
12022021,500023,535,38520,608,43469,87.99
12022021,500027,2173,14895155,5411,36648005,40.16
12022021,500028,8426,41555,8426,41555,100.0
12022021,500029,130,3835,130,3835,100.0
12022021,500031,23823,25472743,50078,53233656,47.57
12022021,500032,265711,1658037,561090,3526387,47.36
12022021,500033,1325,1862089,2090,2946967,63.4
12022021,500034,5643,31468190,56516,314803797,9.98
12022021,500038,12425,1966878,33012,5267018,37.64
12022021,500039,11104,1744439,29492,4694343,37.65
12022021,500040,4270,1961638,15015,6914587,28.44
12022021,500041,29,45617,30,47454,96.67
12022021,500042,8518,16879695,20780,40876503,40.99
12022021,500043,23595,36034284,90684,140406460,26.02
12022021,500048,4357,4237183,33689,32921385,12.93
12022021,500049,97544,13290370,462487,62762511,21.09
12022021,500052,43852,6077888,231408,32189309,18.95
12022021,500055,163499,7022283,404050,17493561,40.46
12022021,500060,14594,923801,27420,1761699,53.22
12022021,500067,1221,993589,2662,2180276,45.87
12022021,500068,3804,16128009,4144,17378240,91.8
12022021,500069,2776,312300,8994,1000980,30.86
12022021,500074,7495,160393,14103,303498,53.14
12022021,500078,4920,3091728,8732,5491740,56.34
12022021,500083,12894,60731,15294,71925,84.31
12022021,500084,3280,2037208,8226,5116224,39.87
12022021,500085,41069,9936645,101785,24839739,40.35
12022021,500086,86899,18379139,209752,44475615,41.43
12022021,500087,23659,20093589,142279,121517259,16.63
12022021,500089,803,319956,4026,1597887,19.95
12022021,500092,1119,2177742,4518,8826161,24.77
12022021,500093,95070,4249629,201335,9130040,47.22
12022021,500096,24134,12888763,103258,55561509,23.37
12022021,500097,4808,682496,9876,1401469,48.68
12022021,500101,143138,10298780,968656,66567852,14.78
12022021,500102,1027743,1313744,1027743,1313744,100.0
12022021,500103,404358,15689091,2002251,78129550,20.2
12022021,500104,82565,18469791,336442,75859984,24.54
12022021,500106,478483,4311132,897825,8169511,53.29
12022021,500108,122980,1581523,193498,2504958,63.56
12022021,500109,28583,996118,61383,2155908,46.56
12022021,500110,12237,1166187,37806,3619730,32.37
12022021,500111,207074,2089377,487164,4902630,42.51
12022021,500112,469642,184663235,2893519,1135043740,16.23
12022021,500113,511634,33153884,1572661,103127995,32.53
12022021,500114,58308,87132560,158876,239800138,36.7
12022021,500116,314976,9134304,944507,27586283,33.35
12022021,500117,43300,896310,68942,1440405,62.81
12022021,500119,6915,1147890,11994,1994271,57.65
12022021,500120,127415,40575307,135348,42047443,94.14
12022021,500123,1294,3823382,1586,4677398,81.59
12022021,500124,2310,11077143,11897,57269970,19.42
12022021,500125,22482,7159393,43762,14104759,51.37
12022021,500126,707,5212676,974,7221357,72.59
12022021,500128,56906,1288921,92491,2110386,61.53
12022021,500133,369,687374,587,1102669,62.86
12022021,500135,61383,13507330,126412,28034061,48.56
12022021,500136,18995,2015370,100752,10750538,18.85
12022021,500143,10,196,10,196,100.0
12022021,500144,16617,6550422,99803,39099542,16.65
12022021,500147,1098,913976,1609,1352110,68.24
12022021,500148,12503,4416060,28469,10141404,43.92
12022021,500150,163,207459,189,240940,86.24
12022021,500151,470,20868,628,28653,74.84
12022021,500153,73708,4698885,92438,5899758,79.74
12022021,500159,2174,118266,4508,244356,48.23
12022021,500160,218968,1620364,307681,2268641,71.17
12022021,500163,1889,1743359,18372,17109610,10.28
12022021,500164,3646,1639242,16565,7405680,22.01
12022021,500165,6906,3970260,14425,8286608,47.88
