Date,Open,High,Low,Close,% Return,% YTD
2007-08-02,5839.67,5902.71,5804.62,5844.15,,229.74666974666977
2007-08-03,5872.6,5945.48,5872.6,5915.94,1.228407895074568,225.74519011349003
2007-08-06,5831.97,5844.57,5754.78,5834.34,-1.379324333918186,230.30111375065556
2007-08-07,5879.09,5922.12,5845.97,5858.5,0.4140999667485934,228.9389775539814
2007-08-08,5900.71,5999.99,5900.71,5987.59,2.2034650507809284,221.8471872656611
2007-08-09,6031.12,6077.57,5884.53,5897.26,-1.5086203297152934,226.77701169695754
2007-08-10,5769.28,5825.65,5693.23,5815.0,-1.3948850822246284,231.39965606190884
2007-08-13,5848.38,5884.97,5825.25,5873.17,1.0003439380911416,228.11735400133148
2007-08-14,5891.57,5893.51,5854.95,5867.47,-0.09705150710774824,228.43610619227707
2007-08-16,5733.62,5733.62,5619.81,5623.14,-4.164145705048339,242.70692175546046
2007-08-17,5604.59,5622.4,5398.55,5530.94,-1.639653289798948,248.419798442941
2007-08-20,5647.51,5728.39,5633.7,5642.44,2.0159321923578943,241.53469066574038
2007-08-21,5669.9,5677.02,5441.0,5457.0,-3.286521433989542,253.14073666849913
2007-08-22,5481.29,5544.52,5390.71,5532.32,1.3802455561663818,248.33288746854848
2007-08-23,5597.79,5646.25,5475.69,5491.14,-0.7443531827515337,250.94515892874702
2007-08-24,5515.35,5588.13,5488.17,5579.52,1.6095018520744242,245.38616225051615
2007-08-27,5632.05,5751.4,5632.05,5746.73,2.99685277586601,235.33661751987657
2007-08-28,5755.3,5794.04,5723.07,5783.86,0.6461065684310929,233.18389449260528
2007-08-29,5708.21,5827.93,5667.39,5818.23,0.5942398329143561,231.21567899515836
2007-08-30,5871.01,5889.75,5843.59,5859.48,0.7089785037717622,228.88396239939382
2007-08-31,5867.89,5953.77,5867.89,5950.11,1.546724282700862,223.87451660557537
2007-09-03,5975.41,6015.79,5961.64,6013.97,1.073257469189648,220.43541953152408
2007-09-04,6034.7,6065.5,6012.82,6039.74,0.428502303802647,219.06820492272848
2007-09-05,6062.13,6084.0,6022.59,6037.36,-0.039405669780490094,219.1939854505943
2007-09-06,6016.81,6105.76,6007.12,6100.2,1.0408522930552389,215.90587193862495
2007-09-07,6115.78,6142.79,6075.38,6085.09,-0.2476967968263244,216.6903036766917
2007-09-10,6035.58,6112.25,6019.4,6101.85,0.2754273149616626,215.82044789694925
2007-09-11,6131.0,6151.84,6078.51,6093.12,-0.14307136360285355,216.2729439105089
2007-09-12,6113.58,6142.07,6093.52,6101.23,0.13310094007668027,215.8525412089038
2007-09-13,6117.95,6165.47,6117.95,6153.75,0.8608100333867164,213.15685557586838
2007-09-14,6186.62,6229.94,6125.24,6137.54,-0.2634166158846263,213.9839414488541
2007-09-17,6156.12,6185.83,6102.63,6125.07,-0.20317586524895015,214.62317981672047
2007-09-18,6136.33,6199.84,6117.21,6192.88,1.1070893883661892,211.17815943470566
2007-09-19,6274.51,6403.44,6274.51,6399.48,3.3360891862913356,201.13212323501287
2007-09-20,6408.55,6463.22,6386.94,6437.81,0.5989549150868578,199.33921628628366
2007-09-21,6442.58,6526.72,6435.35,6514.38,1.1893796182242067,195.82078417286067
2007-09-24,6559.28,6631.62,6533.14,6626.9,1.7272557020008072,190.79795983038827
2007-09-25,6652.93,6657.96,6544.18,6631.44,0.06850865412184604,190.59887445260756
2007-09-26,6656.15,6710.1,6635.86,6647.44,0.24127489655338952,189.8994199270697
2007-09-27,6691.26,6734.03,6678.3,6698.44,0.7672126412573865,187.692208932229
2007-09-28,6708.28,6788.1,6708.28,6773.54,1.1211565677978763,184.50249057361438
2007-10-01,6792.93,6859.47,6746.65,6827.66,0.7989913693578155,182.24735853865016
2007-10-03,6877.96,7048.13,6759.87,6979.61,2.2255062495789124,176.10267622402972
2007-10-04,6972.42,6991.19,6865.33,6974.21,-0.07736821971427998,176.31645734785732
2007-10-05,6992.67,7024.54,6904.41,6930.81,-0.6222927041198867,178.04672181173626
2007-10-08,6972.23,7005.96,6687.36,6764.77,-2.3956795814630616,184.87132600221437
2007-10-09,6730.34,7046.61,6668.79,7035.25,3.9983621024809457,173.91905049571798
2007-10-10,7091.95,7199.46,7091.95,7175.39,1.9919690131836143,168.56923456425363
2007-10-11,7198.61,7273.71,7152.89,7269.13,1.3064098258073642,165.10586548871734
2007-10-12,7251.17,7299.29,7110.86,7140.78,-1.765685852364729,169.8709384689068
2007-10-15,7173.14,7393.75,7173.14,7384.19,3.408731259050124,160.9750019975109
2007-10-16,7404.13,7449.25,7315.59,7421.08,0.49958086127253054,159.67770189783698
2007-10-17,7049.98,7294.89,6778.46,7264.0,-2.1166730448937354,165.29308920704847
2007-10-18,7309.94,7472.33,6917.04,7006.4,-3.5462555066079315,175.04695706782368
2007-10-19,7009.33,7009.33,6686.63,6807.66,-2.8365494405115266,183.07656375318393
2007-10-22,6692.5,6880.25,6655.49,6831.7,0.3531316193816858,182.08044849744573
2007-10-23,6917.01,7194.62,6917.01,7183.6,5.150987309161703,168.26229188707612
2007-10-24,7265.11,7333.68,7147.14,7234.51,0.7086975889526226,166.3745022123129
2007-10-25,7241.35,7364.4,7223.41,7326.87,1.2766586817904768,163.01667697120322
2007-10-26,7355.0,7521.82,7296.29,7511.32,2.5174460581394165,156.5579685062013
2007-10-29,7630.5,7763.31,7630.5,7747.05,3.1383298807666327,148.75133115185778
2007-10-30,7794.16,7837.95,7685.05,7733.66,-0.17283998425207114,149.18201731133772
2007-10-31,7757.8,7842.22,7731.12,7785.22,0.6666959757734459,147.5317332072825
2007-11-01,7880.34,7931.66,7675.88,7711.05,-0.9527026853447973,149.91265780924775
2007-11-02,7589.93,7817.07,7540.02,7805.41,1.2236984587053579,146.89145092954757
2007-11-05,7821.26,7865.37,7711.24,7742.26,-0.8090542328974326,148.90522922247507
2007-11-06,7788.31,7882.26,7634.2,7665.08,-0.9968665480105332,151.41146602514257
2007-11-07,7732.81,7778.94,7587.14,7635.51,-0.3857754909276867,152.38510590648167
