security code,security name,revenue,income,expenditure,profit,eps,year,quartile
500003,AEGISLOG,895.5,907.1,-789.0,95.5,5.84,2007,3
500003,AEGISLOG,921.3,933.0,-799.9,101.4,6.21,2007,4
500003,AEGISLOG,1151.4,1148.9,-966.4,120.3,6.03,2008,1
500003,AEGISLOG,1095.6,1100.8,-999.1,77.9,3.91,2008,2
500003,AEGISLOG,1264.4,1269.4,-1165.3,80.2,4.02,2008,3
500003,AEGISLOG,737.7,737.0,-653.3,78.6,3.94,2008,4
500003,AEGISLOG,591.5,588.8,-518.6,61.1,3.06,2009,1
500003,AEGISLOG,645.9,643.7,-538.8,98.1,4.95,2009,2
500003,AEGISLOG,714.0,710.6,-577.2,112.5,5.69,2009,3
500003,AEGISLOG,762.6,761.7,-624.9,109.3,5.75,2009,4
500003,AEGISLOG,624.8,621.9,-523.0,82.6,2.64,2010,2
500003,AEGISLOG,627.1,622.9,-502.3,86.7,2.77,2010,3
500003,AEGISLOG,686.0,681.2,-555.5,89.3,2.85,2010,4
500003,AEGISLOG,714.7,710.1,-592.2,86.9,2.6,2011,2
500003,AEGISLOG,701.9,699.3,-535.5,215.0,6.44,2011,3
500003,AEGISLOG,688.1,684.2,-537.0,94.6,2.83,2011,4
500003,AEGISLOG,906.0,905.1,-75.1,178.3,5.34,2012,2
500003,AEGISLOG,795.2,791.7,-179.8,65.0,1.95,2012,3
500003,AEGISLOG,1149.4,1147.0,-136.4,63.5,1.9,2012,4
500003,AEGISLOG,987.1,985.8,-145.2,93.9,2.81,2013,1
500003,AEGISLOG,938.1,936.0,-149.8,57.6,1.72,2013,2
500003,AEGISLOG,926.7,924.6,-155.2,62.0,1.86,2013,3
500003,AEGISLOG,915.9,913.8,-174.5,21.3,0.64,2014,1
500003,AEGISLOG,811.8,809.7,-82.9,50.1,1.5,2014,2
500003,AEGISLOG,900.5,898.2,-181.8,553.2,16.56,2014,3
500003,AEGISLOG,865.7,863.5,-190.0,355.6,10.65,2014,4
500003,AEGISLOG,874.2,871.9,-186.4,119.4,3.57,2015,1
500003,AEGISLOG,928.3,926.1,-219.4,138.3,4.14,2015,2
500003,AEGISLOG,910.8,908.6,-219.3,145.5,0.44,2015,3
500003,AEGISLOG,861.8,859.5,-206.0,157.2,0.47,2015,4
500003,AEGISLOG,872.6,870.4,-222.3,97.7,0.29,2016,1
500003,AEGISLOG,930.7,928.5,-210.3,128.8,0.39,2016,2
500003,AEGISLOG,943.7,941.4,-198.6,171.1,0.51,2016,3
500003,AEGISLOG,972.0,969.7,-221.7,124.7,0.37,2016,4
500003,AEGISLOG,1064.7,1196.9,-103.3,204.5,0.61,2017,1
500003,AEGISLOG,1124.1,1141.0,-97.8,212.3,0.64,2017,2
500003,AEGISLOG,1032.7,1152.5,-73.8,335.2,1.0,2017,3
500003,AEGISLOG,1343.5,1363.0,-83.6,233.5,0.7,2017,4
500003,AEGISLOG,1517.3,1637.9,-134.1,228.2,0.68,2018,1
500003,AEGISLOG,1359.3,1368.1,-77.1,166.4,0.5,2018,2
500003,AEGISLOG,1868.2,2041.9,-120.5,301.6,0.9,2018,3
500003,AEGISLOG,2179.6,2187.5,-101.5,296.9,0.88,2018,4
500003,AEGISLOG,1663.5,1676.1,-118.9,121.3,0.37,2019,1
500003,AEGISLOG,2130.3,2330.7,-107.9,417.2,1.25,2019,2
500003,AEGISLOG,1945.2,2108.1,-78.7,-591.2,-1.74,2019,3
500003,AEGISLOG,2167.9,2187.9,-90.0,76.4,0.22,2019,4
500003,AEGISLOG,2353.8,2635.9,-106.6,344.5,1.01,2020,1
500003,AEGISLOG,1077.8,1111.2,-71.0,-36.8,-0.11,2020,2
500003,AEGISLOG,1575.5,1642.5,-83.6,274.4,0.8,2020,3
500003,AEGISLOG,1968.4,2055.4,-99.1,381.9,1.11,2020,4
