Date,Rate
01/02/90,7.83
01/03/90,7.89
01/04/90,7.84
01/05/90,7.79
01/08/90,7.79
01/09/90,7.8
01/10/90,7.75
01/11/90,7.8
01/12/90,7.74
01/16/90,7.89
01/17/90,7.97
01/18/90,8.04
01/19/90,8.0
01/22/90,7.99
01/23/90,7.93
01/24/90,7.93
01/25/90,7.95
01/26/90,7.93
01/29/90,8.0
01/30/90,8.0
01/31/90,8.0
02/01/90,8.02
02/02/90,8.07
02/05/90,8.08
02/06/90,8.09
02/07/90,8.08
02/08/90,8.08
02/09/90,8.02
02/12/90,7.99
02/13/90,7.84
02/14/90,7.87
02/15/90,7.97
02/16/90,7.94
02/20/90,8.06
02/21/90,8.01
02/22/90,7.99
02/23/90,7.93
02/26/90,7.97
02/27/90,7.99
02/28/90,8.04
03/01/90,8.08
03/02/90,8.02
03/05/90,8.09
03/06/90,8.17
03/07/90,8.18
03/08/90,8.18
03/09/90,8.26
03/12/90,8.26
03/13/90,8.26
03/14/90,8.23
03/15/90,8.21
03/16/90,8.19
03/19/90,8.22
03/20/90,8.25
03/21/90,8.23
03/22/90,8.17
03/23/90,8.15
03/26/90,8.13
03/27/90,8.17
03/28/90,8.12
03/29/90,8.1
03/30/90,8.07
04/02/90,8.05
04/03/90,8.09
04/04/90,8.01
04/05/90,8.02
04/06/90,8.02
04/09/90,8.09
04/10/90,8.05
04/11/90,8.03
04/12/90,8.02
04/16/90,8.01
04/17/90,8.03
04/18/90,8.08
04/19/90,8.06
04/20/90,7.95
04/23/90,8.0
04/24/90,8.03
04/25/90,8.06
04/26/90,8.09
04/27/90,8.05
04/30/90,8.07
05/01/90,8.19
05/02/90,8.17
05/03/90,8.15
05/04/90,8.02
05/07/90,8.09
05/08/90,8.06
05/09/90,8.01
05/10/90,7.97
05/11/90,7.88
05/14/90,7.89
05/15/90,7.91
05/16/90,7.93
05/17/90,7.93
05/18/90,8.01
05/21/90,8.02
05/22/90,7.99
05/23/90,7.91
05/24/90,7.95
05/25/90,8.01
05/29/90,8.02
05/30/90,8.03
05/31/90,8.01
06/01/90,7.94
06/04/90,7.96
06/05/90,7.96
06/06/90,7.96
06/07/90,7.96
06/08/90,7.96
06/11/90,7.99
06/12/90,7.99
06/13/90,7.93
06/14/90,7.92
06/15/90,7.95
06/18/90,7.93
06/19/90,8.0
06/20/90,8.03
06/21/90,8.03
06/22/90,8.04
06/25/90,8.05
06/26/90,8.07
06/27/90,8.05
06/28/90,8.0
06/29/90,8.0
07/02/90,8.0
07/03/90,7.96
07/05/90,7.92
07/06/90,8.01
07/09/90,8.06
07/10/90,8.07
07/11/90,8.05
07/12/90,7.94
07/13/90,7.85
07/16/90,7.86
07/17/90,7.87
07/18/90,7.8
07/19/90,7.79
07/20/90,7.79
07/23/90,7.73
07/24/90,7.78
07/25/90,7.81
07/26/90,7.83
07/27/90,7.77
07/30/90,7.74
07/31/90,7.74
08/01/90,7.67
08/02/90,7.68
08/03/90,7.52
08/06/90,7.54
08/07/90,7.61
08/08/90,7.62
08/09/90,7.66
08/10/90,7.64
08/13/90,7.66
08/14/90,7.68
08/15/90,7.7
08/16/90,7.73
08/17/90,7.72
08/20/90,7.77
08/21/90,7.83
08/22/90,7.85
08/23/90,7.79
08/24/90,7.74
08/27/90,7.78
08/28/90,7.73
08/29/90,7.72
08/30/90,7.7
08/31/90,7.63
09/04/90,7.64
09/05/90,7.61
09/06/90,7.62
09/07/90,7.63
09/10/90,7.68
09/11/90,7.67
09/12/90,7.61
09/13/90,7.59
09/14/90,7.59
09/17/90,7.61
09/18/90,7.61
09/19/90,7.64
09/20/90,7.63
09/21/90,7.6
09/24/90,7.63
09/25/90,7.59
09/26/90,7.57
09/27/90,7.47
09/28/90,7.37
10/01/90,7.37
10/02/90,7.41
10/03/90,7.38
10/04/90,7.36
10/05/90,7.27
10/09/90,7.41
10/10/90,7.44
10/11/90,7.35
10/12/90,7.37
10/15/90,7.4
10/16/90,7.39
10/17/90,7.44
10/18/90,7.49
10/19/90,7.48
10/22/90,7.47
10/23/90,7.45
10/24/90,7.46
10/25/90,7.41
10/26/90,7.36
10/29/90,7.38
10/30/90,7.37
10/31/90,7.34
11/01/90,7.28
11/02/90,7.31
11/05/90,7.31
11/06/90,7.31
11/07/90,7.32
11/08/90,7.32
11/09/90,7.27
11/13/90,7.27
11/14/90,7.3
11/15/90,7.32
11/16/90,7.31
11/19/90,7.33
11/20/90,7.32
11/21/90,7.27
11/23/90,7.25
11/26/90,7.26
11/27/90,7.27
11/28/90,7.29
11/29/90,7.26
11/30/90,7.24
12/03/90,7.28
12/04/90,7.24
12/05/90,7.23
12/06/90,7.22
12/07/90,7.1
12/10/90,7.07
12/11/90,7.06
12/12/90,7.0
12/13/90,7.05
12/14/90,7.06
12/17/90,7.02
12/18/90,6.94
12/19/90,6.83
12/20/90,6.75
12/21/90,6.79
12/24/90,6.73
12/26/90,6.68
12/27/90,6.67
12/28/90,6.64
12/31/90,6.63
01/02/91,6.66
01/03/91,6.64
01/04/91,6.73
01/07/91,6.71
01/08/91,6.64
01/09/91,6.44
01/10/91,6.4
01/11/91,6.34
01/14/91,6.24
01/15/91,6.23
01/16/91,6.22
01/17/91,6.3
01/18/91,6.24
01/22/91,6.24
01/23/91,6.32
01/24/91,6.31
01/25/91,6.35
01/28/91,6.44
01/29/91,6.41
01/30/91,6.39
01/31/91,6.37
02/01/91,6.17
02/04/91,6.15
02/05/91,6.15
02/06/91,6.08
02/07/91,6.11
02/08/91,6.09
02/11/91,6.05
02/12/91,6.02
02/13/91,6.03
02/14/91,6.02
02/15/91,6.08
02/19/91,6.13
02/20/91,6.11
02/21/91,6.09
02/22/91,6.12
02/25/91,6.16
02/26/91,6.22
02/27/91,6.21
02/28/91,6.22
03/01/91,6.27
03/04/91,6.24
03/05/91,6.25
03/06/91,6.28
03/07/91,6.27
03/08/91,6.16
03/11/91,6.08
03/12/91,6.05
03/13/91,6.02
03/14/91,5.94
03/15/91,5.98
03/18/91,6.03
03/19/91,6.08
03/20/91,6.07
03/21/91,6.06
03/22/91,6.06
03/25/91,6.07
03/26/91,6.05
03/27/91,5.99
03/28/91,5.92
04/01/91,5.94
04/02/91,5.95
04/03/91,5.95
04/04/91,5.92
04/05/91,5.89
04/08/91,5.83
04/09/91,5.79
04/10/91,5.79
04/11/91,5.74
04/12/91,5.68
04/15/91,5.77
04/16/91,5.79
04/17/91,5.73
04/18/91,5.84
04/19/91,5.93
04/22/91,5.87
04/23/91,5.89
04/24/91,5.84
04/25/91,5.78
04/26/91,5.79
04/29/91,5.77
04/30/91,5.68
05/01/91,5.71
05/02/91,5.63
05/03/91,5.64
05/06/91,5.64
05/07/91,5.67
05/08/91,5.67
05/09/91,5.65
05/10/91,5.65
05/13/91,5.65
05/14/91,5.66
05/15/91,5.62
05/16/91,5.57
05/17/91,5.57
05/20/91,5.63
05/21/91,5.67
05/22/91,5.63
05/23/91,5.57
05/24/91,5.57
05/28/91,5.59
05/29/91,5.62
05/30/91,5.62
05/31/91,5.71
06/03/91,5.79
06/04/91,5.74
06/05/91,5.76
06/06/91,5.74
06/07/91,5.74
06/10/91,5.77
06/11/91,5.74
06/12/91,5.73
06/13/91,5.76
06/14/91,5.77
06/17/91,5.78
06/18/91,5.8
06/19/91,5.74
06/20/91,5.74
06/21/91,5.75
06/24/91,5.75
06/25/91,5.75
06/26/91,5.73
06/27/91,5.73
06/28/91,5.71
07/01/91,5.76
07/02/91,5.75
07/03/91,5.73
07/05/91,5.76
07/08/91,5.75
07/09/91,5.76
07/10/91,5.75
07/11/91,5.74
07/12/91,5.72
07/15/91,5.75
07/16/91,5.76
07/17/91,5.79
07/18/91,5.77
07/19/91,5.76
07/22/91,5.76
07/23/91,5.76
07/24/91,5.75
07/25/91,5.76
07/26/91,5.76
07/29/91,5.75
07/30/91,5.73
07/31/91,5.7
08/01/91,5.72
08/02/91,5.63
08/05/91,5.68
08/06/91,5.58
08/07/91,5.55
08/08/91,5.54
08/09/91,5.48
08/12/91,5.48
08/13/91,5.45
08/14/91,5.45
08/15/91,5.46
08/16/91,5.42
08/19/91,5.27
08/20/91,5.26
08/21/91,5.44
08/22/91,5.47
08/23/91,5.56
08/26/91,5.58
08/27/91,5.55
08/28/91,5.46
08/29/91,5.43
08/30/91,5.49
09/03/91,5.51
09/04/91,5.49
09/05/91,5.48
09/06/91,5.45
09/09/91,5.44
09/10/91,5.4
09/11/91,5.42
09/12/91,5.38
09/13/91,5.31
09/16/91,5.34
09/17/91,5.35
09/18/91,5.34
09/19/91,5.36
09/20/91,5.35
09/23/91,5.37
09/24/91,5.33
09/25/91,5.33
09/26/91,5.28
09/27/91,5.28
09/30/91,5.26
10/01/91,5.25
10/02/91,5.24
10/03/91,5.19
10/04/91,5.17
10/07/91,5.18
10/08/91,5.17
10/09/91,5.16
10/10/91,5.18
10/11/91,5.14
10/15/91,5.13
10/16/91,5.12
10/17/91,5.18
10/18/91,5.18
10/21/91,5.19
10/22/91,5.21
10/23/91,5.19
10/24/91,5.12
10/25/91,5.11
10/28/91,5.09
10/29/91,5.03
10/30/91,4.98
10/31/91,4.96
11/01/91,4.89
11/04/91,4.88
11/05/91,4.9
11/06/91,4.76
11/07/91,4.76
11/08/91,4.75
11/12/91,4.77
11/13/91,4.76
11/14/91,4.76
11/15/91,4.72
11/18/91,4.71
11/19/91,4.66
11/20/91,4.62
11/21/91,4.56
11/22/91,4.55
11/25/91,4.55
11/26/91,4.52
11/27/91,4.51
11/29/91,4.47
12/02/91,4.51
12/03/91,4.48
12/04/91,4.43
12/05/91,4.43
12/06/91,4.36
12/09/91,4.28
12/10/91,4.32
12/11/91,4.26
12/12/91,4.26
12/13/91,4.26
12/16/91,4.25
12/17/91,4.22
12/18/91,4.23
12/19/91,4.15
12/20/91,3.84
12/23/91,3.87
12/24/91,3.91
12/26/91,3.92
12/27/91,3.96
12/30/91,3.97
12/31/91,3.96
01/02/92,3.96
01/03/92,3.95
01/06/92,3.92
01/07/92,3.85
01/08/92,3.82
01/09/92,3.87
01/10/92,3.92
01/13/92,3.92
01/14/92,3.92
01/15/92,3.94
01/16/92,3.89
01/17/92,3.89
01/21/92,3.86
01/22/92,3.85
01/23/92,3.87
01/24/92,3.91
01/27/92,3.93
01/28/92,3.93
01/29/92,3.96
01/30/92,3.93
01/31/92,3.94
02/03/92,3.96
02/04/92,3.94
02/05/92,3.94
02/06/92,3.91
02/07/92,3.84
02/10/92,3.83
02/11/92,3.85
02/12/92,3.85
02/13/92,3.89
02/14/92,3.89
02/18/92,3.93
02/19/92,3.95
02/20/92,3.98
02/21/92,4.03
02/24/92,4.07
02/25/92,4.07
02/26/92,4.05
02/27/92,4.04
02/28/92,4.03
03/02/92,4.14
03/03/92,4.14
03/04/92,4.13
03/05/92,4.14
03/06/92,4.14
03/09/92,4.1
03/10/92,4.11
03/11/92,4.11
03/12/92,4.12
03/13/92,4.16
03/16/92,4.18
03/17/92,4.16
03/18/92,4.15
03/19/92,4.15
03/20/92,4.16
03/23/92,4.17
03/24/92,4.15
03/25/92,4.11
03/26/92,4.11
03/27/92,4.11
03/30/92,4.16
03/31/92,4.15
04/01/92,4.11
04/02/92,4.12
04/03/92,4.06
04/06/92,4.03
04/07/92,3.96
04/08/92,3.96
04/09/92,3.75
04/10/92,3.74
04/13/92,3.7
04/14/92,3.7
04/15/92,3.7
04/16/92,3.73
04/20/92,3.79
04/21/92,3.77
04/22/92,3.77
04/23/92,3.76
04/24/92,3.76
04/27/92,3.82
04/28/92,3.8
04/29/92,3.8
04/30/92,3.79
05/01/92,3.72
05/04/92,3.71
05/05/92,3.72
05/06/92,3.7
05/07/92,3.71
05/08/92,3.72
05/11/92,3.74
05/12/92,3.7
05/13/92,3.67
05/14/92,3.65
05/15/92,3.66
05/18/92,3.69
05/19/92,3.62
05/20/92,3.65
05/21/92,3.76
05/22/92,3.77
05/26/92,3.84
05/27/92,3.79
05/28/92,3.77
05/29/92,3.79
06/01/92,3.82
06/02/92,3.83
06/03/92,3.8
06/04/92,3.78
06/05/92,3.77
06/08/92,3.78
06/09/92,3.77
06/10/92,3.77
06/11/92,3.75
06/12/92,3.75
06/15/92,3.75
06/16/92,3.72
06/17/92,3.7
06/18/92,3.69
06/19/92,3.74
06/22/92,3.75
06/23/92,3.77
