Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-April-2021,6.60,6.74,6.60,6.74,6.727900797165633303,5645,26,37979.00,5645,100.00,0.14,0.14
22-April-2021,6.45,6.65,6.35,6.42,6.390962312477131357,10932,32,69866.00,10932,100.00,0.30,-0.03
20-April-2021,6.20,6.64,6.19,6.64,6.558766652342071336,18616,80,122098.00,18616,100.00,0.45,0.44
19-April-2021,6.35,6.64,6.32,6.33,6.391032879442045831,15055,73,96217.00,15055,100.00,0.32,-0.02
16-April-2021,6.45,6.74,6.39,6.65,6.540351506456241032,11152,65,72938.00,11152,100.00,0.35,0.20
15-April-2021,6.70,6.90,6.36,6.71,6.644821917808219178,18250,86,121268.00,18250,100.00,0.54,0.01
13-April-2021,6.43,6.78,6.21,6.69,6.560964064533943434,25351,123,166327.00,25351,100.00,0.57,0.26
12-April-2021,6.50,6.85,6.43,6.46,6.453523238380809595,24012,74,154962.00,24012,100.00,0.42,-0.04
9-April-2021,6.92,6.98,6.50,6.76,6.783864118895966029,23550,109,159760.00,23550,100.00,0.48,-0.16
8-April-2021,6.90,6.95,6.46,6.70,6.770595953318141012,14481,66,98045.00,14481,100.00,0.49,-0.20
7-April-2021,6.45,6.84,6.45,6.64,6.576800000000000000,2500,16,16442.00,2500,100.00,0.39,0.19
6-April-2021,6.65,7.00,6.55,6.59,6.736096845194424064,13630,71,91813.00,13630,100.00,0.45,-0.06
5-April-2021,7.07,7.07,6.50,6.80,6.908579465541490857,4977,30,34384.00,4977,100.00,0.57,-0.27
1-April-2021,6.70,6.74,6.51,6.74,6.687469879518072289,4150,23,27753.00,4150,100.00,0.23,0.04
31-March-2021,6.30,6.61,6.16,6.42,6.571147179325559407,50768,77,333604.00,50768,100.00,0.45,0.12
30-March-2021,6.55,6.60,6.15,6.30,6.378276209677419354,7936,26,50618.00,7936,100.00,0.45,-0.25
26-March-2021,6.70,6.73,6.25,6.31,6.425397498410006359,23585,87,151543.00,23585,100.00,0.48,-0.39
25-March-2021,6.60,6.79,6.38,6.41,6.454541330187823246,22042,70,142271.00,22042,100.00,0.41,-0.19
24-March-2021,6.95,6.95,6.55,6.71,6.746879415920866698,16984,39,114589.00,16984,100.00,0.40,-0.24
23-March-2021,6.65,6.98,6.60,6.68,6.775991056840656978,11629,51,78798.00,11629,100.00,0.38,0.03
22-March-2021,6.60,7.19,6.60,6.69,6.834592113498852493,23965,87,163791.00,23965,100.00,0.59,0.09
19-March-2021,6.51,6.95,6.45,6.85,6.588629177258354516,16129,78,106268.00,16129,100.00,0.50,0.34
18-March-2021,7.11,7.34,6.68,6.76,6.917989833883561284,19083,72,132016.00,19083,100.00,0.66,-0.35
17-March-2021,6.99,7.11,6.45,7.02,6.995101951962847398,82686,180,578397.00,82686,100.00,0.66,0.03
16-March-2021,6.80,6.97,6.71,6.78,6.755514705882352941,5984,36,40425.00,5984,100.00,0.26,-0.02
15-March-2021,7.47,7.47,6.79,6.89,6.921826396089468226,27004,125,186917.00,27004,100.00,0.68,-0.58
