Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date
2021-04-23,16.25,16.75,16.0,16.55,16.459114778694673,1333,69,21940.0,1233.0,92.5,0.75,0.3,1619116200.0
2021-04-22,16.35,16.85,16.35,16.5,16.449045879009336,2463,28,40514.0,2372.0,96.31,0.5,0.15,1619029800.0
2021-04-20,16.75,17.0,16.26,16.31,16.8809824288904,10301,49,173891.0,10001.0,97.09,0.74,-0.44,1618857000.0
2021-04-19,16.1,16.65,16.1,16.18,16.33102714209686,1879,23,30686.0,1528.0,81.32,0.55,0.08,1618770600.0
2021-04-16,17.0,17.9,16.2,16.93,16.989488808227463,13224,162,224669.0,10820.0,81.82,1.7,-0.07,1618511400.0
2021-04-15,17.4,17.5,17.05,17.13,17.24826388888889,576,16,9935.0,560.0,97.22,0.45,-0.27,1618425000.0
2021-04-13,16.0,18.45,16.0,17.3,17.5284108407761,12988,106,227659.0,7781.0,59.91,2.45,1.3,1618252200.0
2021-04-12,18.0,18.2,16.5,17.04,17.48716593688661,13246,122,231635.0,9171.0,69.24,1.7,-0.96,1618165800.0
2021-04-09,18.0,18.85,17.3,18.45,18.090816917728848,27616,174,499596.0,17071.0,61.82,1.55,0.45,1617906600.0
2021-04-08,16.0,17.6,15.42,17.3,16.792121023297675,28887,155,485074.0,21888.0,75.77,2.18,1.3,1617820200.0
2021-04-07,15.0,15.2,14.6,15.05,14.846938775510203,1862,22,27645.0,1602.0,86.04,0.6,0.05,1617733800.0
2021-04-06,15.25,15.35,15.2,15.22,15.246445497630331,1899,11,28953.0,1882.0,99.1,0.15,-0.03,1617647400.0
2021-04-05,14.81,14.81,14.66,14.75,14.728,500,8,7364.0,400.0,80.0,0.15,-0.06,1617561000.0
2021-04-01,14.53,15.67,14.45,15.01,14.843268682258984,7012,49,104081.0,6281.0,89.58,1.22,0.48,1617215400.0
2021-03-31,14.35,14.8,14.3,14.4,14.514909402197176,7009,25,101735.0,6739.0,96.15,0.5,0.05,1617129000.0
2021-03-30,14.75,15.15,14.6,14.6,14.871499688861231,3214,33,47797.0,2624.0,81.64,0.55,-0.15,1617042600.0
2021-03-26,15.25,15.25,14.35,14.55,14.713476607960276,12889,74,189642.0,10216.0,79.26,0.9,-0.7,1616697000.0
2021-03-25,14.5,15.05,14.35,14.75,14.727797513321493,2252,21,33167.0,1946.0,86.41,0.7,0.25,1616610600.0
2021-03-24,14.45,15.0,14.4,14.55,14.534779356768883,2674,35,38866.0,1402.0,52.43,0.6,0.1,1616524200.0
2021-03-23,14.95,15.05,14.85,15.0,14.99719495091164,713,11,10693.0,710.0,99.58,0.2,0.05,1616437800.0
2021-03-22,14.35,15.05,14.35,15.0,14.77047704770477,2222,23,32820.0,1755.0,78.98,0.7,0.65,1616351400.0
2021-03-19,14.65,15.25,14.45,14.8,14.628291853566775,55288,71,808769.0,5540.0,10.02,0.8,0.15,1616092200.0
2021-03-18,15.3,15.3,14.8,15.05,14.987157034442498,3426,7,51346.0,3300.0,96.32,0.5,-0.25,1616005800.0
2021-03-17,16.4,16.5,14.95,15.0,15.49181925781522,14363,165,222509.0,7251.0,50.48,1.55,-1.4,1615919400.0
2021-03-16,14.55,16.0,14.45,16.0,15.66269807280514,11675,62,182862.0,11070.0,94.82,1.55,1.45,1615833000.0
2021-03-15,14.5,14.55,14.25,14.55,14.449629629629628,1350,25,19507.0,926.0,68.59,0.3,0.05,1615746600.0
2021-03-12,14.65,14.8,14.2,14.45,14.664212910532276,3532,37,51794.0,3382.0,95.75,0.6,-0.2,1615487400.0
2021-03-10,15.0,15.5,14.3,14.5,14.579004116839837,10202,71,148735.0,8229.0,80.66,1.2,-0.5,1615314600.0
2021-03-09,15.45,15.45,14.65,14.95,15.020550215445809,3017,32,45317.0,2050.0,67.95,0.8,-0.5,1615228200.0
2021-03-08,15.4,15.9,15.4,15.5,15.592431045542014,7795,39,121543.0,7284.0,93.44,0.5,0.1,1615141800.0
2021-03-05,15.5,16.4,15.5,15.8,15.885296045444614,4577,81,72707.0,3369.0,73.61,0.9,0.3,1614882600.0
2021-03-04,15.05,15.75,14.85,15.45,15.246803069053708,2346,27,35769.0,1792.0,76.39,0.9,0.4,1614796200.0
2021-03-03,15.3,15.45,14.75,15.05,15.319124797406808,6170,33,94519.0,5879.0,95.28,0.7,-0.25,1614709800.0
2021-03-02,15.05,15.35,14.85,15.25,15.055041518386714,4215,27,63457.0,3288.0,78.01,0.5,0.2,1614623400.0
2021-03-01,15.2,15.3,14.85,15.0,15.05227544115696,7537,39,113449.0,7217.0,95.75,0.45,-0.2,1614537000.0
2021-02-26,14.95,15.5,14.3,15.15,15.177376849787148,9866,99,149740.0,8103.0,82.13,1.2,0.2,1614277800.0
2021-02-25,15.95,16.1,14.5,15.0,15.768356582287325,42941,201,677109.0,20479.0,47.69,1.6,-0.95,1614191400.0
2021-02-24,15.0,15.5,14.25,14.65,14.791184682887913,15042,76,222489.0,12392.0,82.38,1.25,-0.35,1614105000.0
2021-02-23,15.3,15.3,13.7,14.45,14.093719585504092,17467,159,246175.0,11010.0,63.03,1.6,-0.85,1614018600.0
2021-02-22,15.35,15.55,15.15,15.2,15.337535014005603,2142,17,32853.0,1951.0,91.08,0.4,-0.15,1613932200.0
2021-02-19,16.25,16.25,15.0,15.5,15.600330988829128,9668,46,150824.0,6558.0,67.83,1.25,-0.75,1613673000.0
2021-02-18,15.6,16.3,15.0,15.6,15.79092604783849,18228,81,287837.0,17050.0,93.54,1.3,0.0,1613586600.0
2021-02-17,15.5,16.05,14.8,15.75,15.247371259099488,7418,61,113105.0,5697.0,76.8,1.25,0.25,1613500200.0
2021-02-16,16.1,16.2,15.75,16.15,16.13140037014189,1621,14,26149.0,1549.0,95.56,0.45,0.05,1613413800.0
2021-02-15,16.45,16.65,16.2,16.3,16.479166666666664,432,10,7119.0,329.0,76.16,0.45,-0.15,1613327400.0
2021-02-12,15.95,17.35,15.5,16.75,16.466637207247015,15841,77,260848.0,11223.0,70.85,1.85,0.8,1613068200.0
2021-02-11,16.0,16.4,15.6,15.8,15.823670008543958,92463,65,1463104.0,90644.0,98.03,0.8,-0.2,1612981800.0
2021-02-10,15.9,16.5,15.7,15.7,16.182795698924732,186,8,3010.0,185.0,99.46,0.8,-0.2,1612895400.0
2021-02-09,16.0,16.5,15.7,16.1,16.016106637045265,3601,48,57674.0,3564.0,98.97,0.8,0.1,1612809000.0
2021-02-08,16.65,17.0,16.25,16.8,16.65205223880597,2144,22,35702.0,1602.0,74.72,0.75,0.15,1612722600.0
2021-02-05,16.5,17.0,16.1,16.25,16.247112129057957,20084,28,326307.0,19636.0,97.77,0.9,-0.25,1612463400.0
2021-02-04,15.45,16.5,15.45,16.35,16.243119266055043,2616,45,42492.0,1798.0,68.73,1.05,0.9,1612377000.0
2021-02-03,15.0,15.75,14.95,15.75,15.204851752021565,2226,23,33846.0,1618.0,72.69,0.8,0.75,1612290600.0
2021-02-02,15.4,15.5,14.85,15.15,15.127401415571285,2967,38,44883.0,2617.0,88.2,0.65,-0.25,1612204200.0
2021-02-01,15.1,15.25,14.95,15.0,15.006312292358803,3010,31,45169.0,2610.0,86.71,0.3,-0.1,1612117800.0
2021-01-29,15.95,16.15,15.2,15.3,15.341037094581472,5149,37,78991.0,4729.0,91.84,0.95,-0.65,1611858600.0
2021-01-28,15.3,16.0,15.3,16.0,15.544776119402984,134,14,2083.0,98.0,73.13,0.7,0.7,1611772200.0
2021-01-27,15.25,15.85,15.25,15.5,15.61667308432807,5194,39,81113.0,4533.0,87.27,0.6,0.25,1611685800.0
2021-01-25,15.6,15.6,15.25,15.55,15.374694783573807,4505,26,69263.0,4355.0,96.67,0.35,-0.05,1611513000.0
2021-01-22,15.7,16.15,15.6,15.8,15.96382189239332,2156,31,34418.0,2000.0,92.76,0.55,0.1,1611253800.0
2021-01-21,16.9,17.0,15.75,15.75,16.335344215755857,2818,38,46033.0,2374.0,84.24,1.25,-1.15,1611167400.0
2021-01-20,17.25,17.25,16.3,16.3,16.725896012115093,3962,50,66268.0,3280.0,82.79,0.95,-0.95,1611081000.0
2021-01-19,16.5,16.75,16.2,16.55,16.36844181459566,2535,37,41494.0,2154.0,84.97,0.55,0.05,1610994600.0
2021-01-18,16.4,17.15,16.05,16.55,16.773769184771776,10034,85,168308.0,6326.0,63.05,1.1,0.15,1610908200.0
2021-01-15,16.95,17.0,16.35,16.35,16.411500449236296,3339,28,54798.0,3132.0,93.8,0.65,-0.6,1610649000.0
