Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,Dividend Value,% Return of Company,Close Price of SP500,% Return of SP500,Beta,Rate,% YTD of Company,% YTD of SP500,Alpha,Lower Band,Upper Band,Band Area,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e,Next Day Open Price,Next Day High Price,Next Day Low Price,Next Day Close Price
2021-03-12,144.1,146.55,143.0,144.0,145.1711915535445,3978.0,134.0,577491.0,3306.0,83.11,3.55,-0.1,1615487400.0,1.0,,,,0.006461891470177586,0.04,9756.881944444445,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,,,,
2021-03-10,135.0,144.05,135.0,143.65,142.12994950837094,3763.0,170.0,534835.0,2655.0,70.56,9.05,8.65,1615314600.0,1.0,-0.24305555555554914,,,0.006461891470177586,0.04,9780.898016011137,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,144.1,146.55,143.0,144.0
2021-03-09,144.5,146.0,139.6,140.7,140.75959165357864,8914.0,472.0,1254731.0,6731.0,75.51,6.4,-3.8,1615228200.0,1.0,-2.053602506091201,,,0.00645939630209002,0.05,9988.066808813077,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,135.0,144.05,135.0,143.65
2021-03-08,148.0,149.1,144.5,144.85,145.8946657663741,1481.0,35.0,216070.0,1446.0,97.64,4.6,-3.15,1615141800.0,1.0,2.9495380241648883,,,0.006456937790517233,0.05,9699.040386606835,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,144.5,146.0,139.6,140.7
2021-03-05,148.5,148.5,146.0,146.55,147.58200455580865,1756.0,89.0,259154.0,1530.0,87.13,2.5,-1.95,1614882600.0,1.0,1.173627890921658,,,0.006454474057295677,0.04,9585.370180825656,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,148.0,149.1,144.5,144.85
2021-03-04,144.55,149.0,144.55,148.8,148.04768454837227,4362.0,226.0,645784.0,2602.0,59.65,4.45,4.25,1614796200.0,1.0,1.535312180143289,,,0.0064519776908251066,0.04,9438.918010752686,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,148.5,148.5,146.0,146.55
2021-03-03,151.05,151.3,146.0,147.5,147.78540145985403,6165.0,295.0,911097.0,4818.0,78.15,5.3,-3.55,1614709800.0,1.0,-0.8736559139784994,,,0.006449484894177629,0.05,9522.989830508475,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,144.55,149.0,144.55,148.8
2021-03-02,150.95,152.3,148.1,149.8,150.18797121315964,5836.0,251.0,876497.0,4748.0,81.36,4.2,-1.15,1614623400.0,1.0,1.5593220338983027,,,0.006446997954960213,0.04,9375.240320427236,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,151.05,151.3,146.0,147.5
2021-03-01,153.0,153.9,150.7,150.75,151.4905017048222,2053.0,51.0,311010.0,1637.0,79.74,3.2,-2.25,1614537000.0,1.0,0.6341789052069391,,,0.0064445054372116095,0.05,9315.529021558872,,,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,150.95,152.3,148.1,149.8
2021-02-26,153.0,154.6,152.45,153.35,153.35332893869474,1517.0,105.0,232637.0,1096.0,72.25,2.15,0.35,1614277800.0,1.0,1.7247097844112824,19371.25,-3.0984485246852933,0.006442006659457525,0.04,9155.891750896642,0.0,9155.852008576909,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,153.0,153.9,150.7,150.75
2021-02-25,155.2,157.1,154.5,154.8,155.52872489490892,2141.0,47.0,332987.0,1446.0,67.54,2.6,-0.4,1614191400.0,1.0,0.9455493968047124,19990.65,0.8979575767914971,0.006391886457960611,0.04,9069.192506459947,-3.0984485246852933,9069.172567066571,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,153.0,154.6,152.45,153.35
2021-02-24,154.85,159.8,151.3,153.0,154.40914013428633,4617.0,84.0,712907.0,4306.0,93.26,8.5,-1.85,1614105000.0,1.0,-1.1627906976744207,19812.74,1.5785825466909875,0.0064022494635784305,0.03,9177.065359477125,-2.2283137011841925,9177.049817764806,51.25,15136.6,15085.35,,,,,,2021,365.65,235.04999999999998,-97.58,106.9,5.890000000000001,795.89,665.29,-153.28,310.27,17.11,1501.49,1370.8899999999999,-675.05,464.26,25.599999999999998,,155.2,157.1,154.5,154.8
