accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,threshold
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",25,25,0.01
0.10444444444444445,0.10444444444444445,1.0,0.18913480885311873,"[[  0 806]
 [  0  94]]",25,25,0.02
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",25,25,0.03
0.022222222222222223,0.022222222222222223,1.0,0.04347826086956522,"[[  0 880]
 [  0  20]]",25,25,0.04
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",25,25,0.05
0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007,"[[  0 679]
 [  0 221]]",50,25,0.01
0.10444444444444445,0.10444444444444445,1.0,0.18913480885311873,"[[  0 806]
 [  0  94]]",50,25,0.02
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",50,25,0.03
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",50,25,0.04
0.022222222222222223,0.022222222222222223,1.0,0.04347826086956522,"[[  0 880]
 [  0  20]]",50,25,0.05
0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007,"[[  0 679]
 [  0 221]]",100,25,0.01
0.10444444444444445,0.10444444444444445,1.0,0.18913480885311873,"[[  0 806]
 [  0  94]]",100,25,0.02
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",100,25,0.03
0.022222222222222223,0.022222222222222223,1.0,0.04347826086956522,"[[  0 880]
 [  0  20]]",100,25,0.04
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",100,25,0.05
0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007,"[[  0 679]
 [  0 221]]",25,32,0.01
0.10444444444444445,0.10444444444444445,1.0,0.18913480885311873,"[[  0 806]
 [  0  94]]",25,32,0.02
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",25,32,0.03
0.022222222222222223,0.022222222222222223,1.0,0.04347826086956522,"[[  0 880]
 [  0  20]]",25,32,0.04
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",25,32,0.05
0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007,"[[  0 679]
 [  0 221]]",50,32,0.01
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",50,32,0.02
0.042222222222222223,0.042222222222222223,1.0,0.08102345415778252,"[[  0 862]
 [  0  38]]",50,32,0.03
0.022222222222222223,0.022222222222222223,1.0,0.04347826086956522,"[[  0 880]
 [  0  20]]",50,32,0.04
0.013333333333333334,0.013333333333333334,1.0,0.02631578947368421,"[[  0 888]
 [  0  12]]",50,32,0.05
0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007,"[[  0 679]
 [  0 221]]",100,32,0.01
