features,threshold,pvalue,fvalue,root_mean_squared_error,mean_absolute_error,mean_squared_error,confidence,accuracy,precision,recall,f1_score,f-value,confusion matrix
['Spread High-Low GR'],0.010000,0.050000,4.921362,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,5.785529,"[[715   0]
 [184   0]]"
['Spread High-Low GR'],0.010000,0.100000,4.921362,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,5.785529,"[[715   0]
 [184   0]]"
['Spread High-Low GR'],0.010000,0.150000,4.921362,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,5.785529,"[[715   0]
 [184   0]]"
"['Spread High-Low GR', 'Beta GR']",0.010000,0.200000,4.921362,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,4.142993,"[[715   0]
 [184   0]]"
"['Deliverable Quantity GR', 'Spread High-Low GR', 'Beta GR', 'Income GR']",0.010000,0.250000,4.921362,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,9.579727,"[[715   0]
 [184   0]]"
"['Open Price GR', 'High Price GR', 'Low Price GR', 'WAP GR', 'No.of Shares GR', 'No. of Trades GR', 'Total Turnover (Rs.) GR', 'Deliverable Quantity GR', '% Deli. Qty to Traded Qty GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Alpha GR', 'Beta GR', 'Revenue GR', 'Dividend Value GR', 'Income GR', 'Expenditure GR', 'Net Profit GR']",0.010000,0.710782,0.100000,0.453634,0.205784,0.205784,0.794216,0.794216,0.000000,0.000000,0.000000,16.773136,"[[714   1]
 [184   0]]"
"['Low Price GR', 'Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Revenue GR', 'Income GR', 'Expenditure GR']",0.010000,0.405280,0.500000,0.453634,0.205784,0.205784,0.794216,0.794216,0.000000,0.000000,0.000000,25.560242,"[[714   1]
 [184   0]]"
"['Deliverable Quantity GR', 'Spread High-Low GR', 'Spread Close-Open GR', 'Beta GR', 'Income GR', 'Expenditure GR']",0.010000,0.265504,1.000000,0.453634,0.205784,0.205784,0.794216,0.794216,0.000000,0.000000,0.000000,11.332493,"[[714   1]
 [184   0]]"
['Spread High-Low GR'],0.010000,0.026601,2.000000,0.452407,0.204672,0.204672,0.795328,0.795328,0.000000,0.000000,0.000000,5.785529,"[[715   0]
 [184   0]]"
[],0.010000,,5.000000,,,,,,,,,,
[],0.010000,,10.000000,,,,,,,,,,
[],0.010000,,100.000000,,,,,,,,,,
"['Spread High-Low GR', 'Beta GR', 'Expenditure GR']",0.020000,0.050000,9.398792,0.296438,0.087875,0.087875,0.912125,0.912125,0.000000,0.000000,0.000000,4.514442,"[[820   0]
 [ 79   0]]"
"['Spread High-Low GR', 'Beta GR', 'Expenditure GR']",0.020000,0.100000,9.398792,0.296438,0.087875,0.087875,0.912125,0.912125,0.000000,0.000000,0.000000,4.514442,"[[820   0]
 [ 79   0]]"
"['Spread High-Low GR', 'Beta GR', 'Expenditure GR']",0.020000,0.150000,9.398792,0.296438,0.087875,0.087875,0.912125,0.912125,0.000000,0.000000,0.000000,4.514442,"[[820   0]
 [ 79   0]]"
