Security Code,Security Name
500002,ABB India Limited
500003,AEGIS LOGISTICS LTD.
500008,AMARA RAJA BATTERIES LTD.
500009,AMBALAL SARABHAI ENTERPRISES LTD.
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.
500012,ANDHRA PETROCHEMICALS LTD.
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.
500014,Utique Enterprises Ltd
500016,ARUNA HOTELS LTD.
500020,BOMBAY DYEING & MFG.CO.LTD.
500023,Asian Hotels (North) Limited
500027,ATUL LTD.
500028,ATV PROJECTS INDIA LTD.
500029,AUTOLITE (INDIA) LTD.
500031,BAJAJ ELECTRICALS LTD.-$
500032,Bajaj Hindusthan Sugar Limited
500033,FORCE MOTORS LTD.-$
500034,Bajaj Finance Limited
500038,BALRAMPUR CHINI MILLS LTD.
500039,BANCO PRODUCTS (INDIA) LTD.-$
500040,CENTURY TEXTILES & INDUSTRIES LTD.
500041,BANNARI AMMAN SUGARS LTD.
500042,BASF INDIA LTD.
500043,BATA INDIA LTD.
500048,BEML LTD.
500049,BHARAT ELECTRONICS LTD.
500052,BHANSALI ENGINEERING POLYMERS LTD.-$
500055,Tata Steel Bsl Ltd
500060,Birla Cable Ltd
500067,BLUE STAR LTD.
500068,DISA INDIA LTD.
500069,BNK CAPITAL MARKETS LTD.
500074,BPL LTD.
500078,Oriental Aromatics Ltd-$
500083,CENTURY EXTRUSIONS LTD.
500084,CESC LTD.
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.
500086,EXIDE INDUSTRIES LTD.
500087,CIPLA LTD.
500089,DIC INDIA LTD.
500092,CRISIL LTD.
500093,CG Power and Industrial Solutions Ltd
500096,DABUR INDIA LTD.
500097,Dalmia Bharat Sugar and Industries Ltd
500101,ARVIND LTD.
500102,BALLARPUR INDUSTRIES LTD.
500103,BHARAT HEAVY ELECTRICALS LTD.
500104,HINDUSTAN PETROLEUM CORPORATION LTD.
500106,IFCI LTD.
500108,MAHANAGAR TELEPHONE NIGAM LTD.
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.
500110,CHENNAI PETROLEUM CORPORATION LTD.
500111,RELIANCE CAPITAL LTD.
500112,STATE BANK OF INDIA
500113,STEEL AUTHORITY OF INDIA LTD.
500114,Titan Company Limited
500116,IDBI BANK LTD.
500117,DCW LTD.
500119,DHAMPUR SUGAR MILLS LTD.
500120,DIAMINES & CHEMICALS LTD.-$
500123,ELANTAS BECK INDIA LTD.-$
500124,DR.REDDY&#39;S LABORATORIES LTD.
500125,E.I.D.-PARRY (INDIA) LTD.
500126,Procter & Gamble Health Ltd
500128,ELECTROSTEEL CASTINGS LTD.
500133,ESAB INDIA LTD.
500135,EPL Ltd
500136,ESTER INDUSTRIES LTD.
500143,PH CAPITAL LTD.
500144,FINOLEX CABLES LTD.
500147,John Cockerill India Ltd-$
500148,UFLEX LTD.
500150,FOSECO INDIA LTD.
500151,GOLDEN TOBACCO LTD.
500153,GANESH BENZOPLAST LTD.
500159,Metroglobal Limited
500160,GTL LTD.
500163,GODFREY PHILLIPS INDIA LTD.
500164,GODREJ INDUSTRIES LTD.
500165,KANSAI NEROLAC PAINTS LTD.
500166,GOODRICKE GROUP LTD.
500168,GOODYEAR INDIA LTD.
500170,GTN INDUSTRIES LTD.
500171,GHCL LTD.
500173,GFL Ltd
500174,GUJARAT LEASE FINANCING LTD.
500179,HCL INFOSYSTEMS LTD.
500180,HDFC Bank Ltd
500182,HERO MOTOCORP LTD.
500183,HFCL Ltd
