security id,company,threshold,accuracy,precision,recall,f1_score,parameters,confusion matrix,model
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.01,0.6674816625916871,0.030769230769230767,0.2857142857142857,0.05555555555555556,"batch_size = 100,  epochs = 75","[[538 252]
 [ 20   8]]",bpnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.02,0.8154034229828849,0.0,0.0,0.0,"batch_size = 64,  epochs = 75","[[667 151]
 [  0   0]]",bpnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.03,0.8948655256723717,0.0,0.0,0.0,"batch_size = 32,  epochs = 25","[[732  84]
 [  2   0]]",bpnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.04,0.9413202933985331,0.0,0.0,0.0,"batch_size = 25,  epochs = 50","[[770  45]
 [  3   0]]",bpnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.05,0.9584352078239609,0.0,0.0,0.0,"batch_size = 64,  epochs = 50","[[784  32]
 [  2   0]]",bpnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.1,0.9889975550122249,0.0,0.0,0.0,"batch_size = 25,  epochs = 75","[[809   7]
 [  2   0]]",bpnn
500112,SBIN,0.01,0.7093541202672605,0.007662835249042145,0.5,0.01509433962264151,"batch_size = 32,  epochs = 25","[[635 259]
 [  2   2]]",bpnn
500112,SBIN,0.02,0.8485523385300668,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[762 136]
 [  0   0]]",bpnn
500112,SBIN,0.03,0.9175946547884188,0.0,0.0,0.0,"batch_size = 64,  epochs = 50","[[824  74]
 [  0   0]]",bpnn
500112,SBIN,0.04,0.9543429844097996,0.0,0.0,0.0,"batch_size = 64,  epochs = 50","[[857  41]
 [  0   0]]",bpnn
500112,SBIN,0.05,0.9788418708240536,0.09523809523809523,1.0,0.17391304347826084,"batch_size = 25,  epochs = 50","[[877  19]
 [  0   2]]",bpnn
500112,SBIN,0.1,0.9977728285077953,0.0,0.0,0.0,"batch_size = 100,  epochs = 50","[[896   2]
 [  0   0]]",bpnn
