security id,company,threshold,accuracy,precision,recall,f1_score,parameters,confusion matrix,model
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.01,0.6821515892420538,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[558 260]
 [  0   0]]",rnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.02,0.8154034229828849,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[667 151]
 [  0   0]]",rnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.03,0.8973105134474327,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[734  84]
 [  0   0]]",rnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.04,0.9449877750611247,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[773  45]
 [  0   0]]",rnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.05,0.9608801955990219,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[786  32]
 [  0   0]]",rnn
500085,CHAMBAL FERTILISERS & CHEMICALS LTD,0.1,0.9914425427872859,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[811   7]
 [  0   0]]",rnn
500112,SBIN,0.01,0.7071269487750557,0.0,0.0,0.0,"batch_size = 100,  epochs = 75","[[635 261]
 [  2   0]]",rnn
500112,SBIN,0.02,0.8485523385300668,0.0,0.0,0.0,"batch_size = 25,  epochs = 100","[[762 136]
 [  0   0]]",rnn
500112,SBIN,0.03,0.9187082405345212,0.013513513513513514,1.0,0.02666666666666666,"batch_size = 25,  epochs = 100","[[824  73]
 [  0   1]]",rnn
500112,SBIN,0.04,0.9543429844097996,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[857  41]
 [  0   0]]",rnn
500112,SBIN,0.05,0.9766146993318484,0.0,0.0,0.0,"batch_size = 25,  epochs = 50","[[877  21]
 [  0   0]]",rnn
500112,SBIN,0.1,0.9977728285077953,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[896   2]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.01,0.7709750566893424,0.0,0.0,0.0,"batch_size = 32,  epochs = 50","[[680 202]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.02,0.8990929705215419,0.0,0.0,0.0,"batch_size = 25,  epochs = 100","[[793  89]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.03,0.9569160997732428,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[844  38]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.04,0.9784580498866212,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[863  19]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.05,0.9897959183673468,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[873   9]
 [  0   0]]",rnn
500124,DR.REDDY'S LABORATORIES LTD,0.1,0.9988662131519276,0.0,0.0,0.0,"batch_size = 25,  epochs = 25","[[881   1]
 [  0   0]]",rnn
500180,HDFC Bank Ltd,0.01,0.8060200668896321,0.005714285714285714,1.0,0.011363636363636362,"batch_size = 48,  epochs = 50","[[722 174]
 [  0   1]]",rnn
500180,HDFC Bank Ltd,0.02,0.9253065774804904,0.0,0.0,0.0,"batch_size = 48,  epochs = 25","[[830  67]
 [  0   0]]",rnn
500180,HDFC Bank Ltd,0.03,0.9609810479375696,0.0,0.0,0.0,"batch_size = 100,  epochs = 25","[[862  35]
 [  0   0]]",rnn
500180,HDFC Bank Ltd,0.04,0.9788182831661092,0.0,0.0,0.0,"batch_size = 48,  epochs = 25","[[878  19]
 [  0   0]]",rnn
