accuracy,precision,recall,f1_score,confusion matrix,epochs,batch_size,threshold
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,25,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",25,25,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",25,25,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,25,0.04
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,25,0.05
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,25,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",50,25,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",50,25,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,25,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",50,25,0.05
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",100,25,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",100,25,0.02
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",100,25,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",100,25,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",100,25,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",25,32,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",25,32,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",25,32,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,32,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",25,32,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",50,32,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",50,32,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",50,32,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,32,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",50,32,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",100,32,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",100,32,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",100,32,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",100,32,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",100,32,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",25,64,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",25,64,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",25,64,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,64,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",25,64,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",50,64,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",50,64,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",50,64,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,64,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",50,64,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",100,64,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",100,64,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",100,64,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",100,64,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",100,64,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",25,100,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",25,100,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",25,100,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",25,100,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",25,100,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",50,100,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",50,100,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",50,100,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,100,0.04
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",50,100,0.05
0.19509476031215162,0.19509476031215162,1.0,0.32649253731343286,"[[  0 722]
 [  0 175]]",100,100,0.01
0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334,"[[  0 830]
 [  0  67]]",100,100,0.02
0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906,"[[  0 862]
 [  0  35]]",100,100,0.03
0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524,"[[  0 878]
 [  0  19]]",100,100,0.04
0.012263099219620958,0.012263099219620958,1.0,0.024229074889867842,"[[  0 886]
 [  0  11]]",100,100,0.05
