security id,epochs,batch_size,threshold,accuracy,precision,recall,f1_score
500325,50,25,0.01,0.2525027808676307,0.2525027808676307,1.0,0.4031971580817051
500325,25,25,0.02,0.1012235817575083,0.1012235817575083,1.0,0.1838383838383838
500325,25,64,0.03,0.1012235817575083,0.1012235817575083,1.0,0.1838383838383838
500325,50,25,0.04,0.050055617352614,0.050055617352614,1.0,0.0953389830508474
500325,25,25,0.05,0.050055617352614,0.050055617352614,1.0,0.0953389830508474
507685,50,25,0.01,0.2154017857142857,0.2154017857142857,1.0,0.3544536271808999
507685,25,25,0.02,0.1049107142857142,0.1049107142857142,1.0,0.1898989898989899
507685,25,25,0.03,0.0558035714285714,0.0558035714285714,1.0,0.1057082452431289
507685,50,25,0.04,0.0558035714285714,0.0558035714285714,1.0,0.1057082452431289
507685,25,25,0.05,0.015625,0.015625,1.0,0.0307692307692307
500209,50,25,0.01,0.2046718576195773,0.2046718576195773,1.0,0.3397968605724838
500209,50,32,0.02,0.2046718576195773,0.2046718576195773,1.0,0.3397968605724838
500209,25,25,0.03,0.0444938820912124,0.0444938820912124,1.0,0.0851970181043663
500209,50,64,0.04,0.0878754171301446,0.0878754171301446,1.0,0.1615541922290388
500209,100,100,0.05,0.0878754171301446,0.0878754171301446,1.0,0.1615541922290388
500112,50,25,0.01,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,100,32,0.02,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,50,100,0.03,0.1514476614699332,0.1514476614699332,1.0,0.2630560928433268
500112,100,100,0.04,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,25,25,0.05,0.0824053452115812,0.0824053452115812,1.0,0.1522633744855966
532210,50,25,0.01,0.2373271889400921,0.2373271889400921,1.0,0.3836126629422719
532210,25,32,0.02,0.2373271889400921,0.2373271889400921,1.0,0.3836126629422719
532210,25,25,0.03,0.0552995391705069,0.0552995391705069,1.0,0.1048034934497816
532210,25,25,0.04,0.0299539170506912,0.0299539170506912,1.0,0.058165548098434
532210,25,25,0.05,0.0552995391705069,0.0552995391705069,1.0,0.1048034934497816
532540,50,25,0.01,0.234375,0.234375,1.0,0.379746835443038
532540,25,32,0.02,0.234375,0.234375,1.0,0.379746835443038
532540,25,25,0.03,0.0528846153846153,0.0528846153846153,1.0,0.1004566210045662
532540,25,25,0.04,0.0240384615384615,0.0240384615384615,1.0,0.0469483568075117
532540,50,32,0.05,0.0240384615384615,0.0240384615384615,1.0,0.0469483568075117
500182,50,25,0.01,0.2455555555555555,0.2455555555555555,1.0,0.3942908117752007
500182,25,25,0.02,0.1044444444444444,0.1044444444444444,1.0,0.1891348088531187
500182,25,25,0.03,0.0422222222222222,0.0422222222222222,1.0,0.0810234541577825
500182,25,64,0.04,0.1044444444444444,0.1044444444444444,1.0,0.1891348088531187
500182,25,32,0.05,0.0422222222222222,0.0422222222222222,1.0,0.0810234541577825
500680,50,25,0.01,0.2181818181818181,0.2181818181818181,1.0,0.3582089552238806
500680,50,32,0.02,0.2181818181818181,0.2181818181818181,1.0,0.3582089552238806
500680,25,25,0.03,0.0261363636363636,0.0261363636363636,1.0,0.0509413067552602
500680,25,25,0.04,0.0102272727272727,0.0102272727272727,1.0,0.0202474690663667
500680,25,25,0.05,0.0102272727272727,0.0102272727272727,1.0,0.0202474690663667
532174,50,25,0.01,0.2917594654788418,0.2917594654788418,1.0,0.4517241379310345
532174,25,25,0.02,0.1636971046770601,0.1636971046770601,1.0,0.2813397129186603
532174,25,25,0.03,0.0924276169265033,0.0924276169265033,1.0,0.1692150866462793
532174,25,25,0.04,0.0534521158129175,0.0534521158129175,1.0,0.1014799154334038
532174,25,100,0.05,0.0924276169265033,0.0924276169265033,1.0,0.1692150866462793
530965,50,25,0.01,0.2703910614525139,0.2703910614525139,1.0,0.4256816182937554
530965,100,25,0.02,0.2703910614525139,0.2703910614525139,1.0,0.4256816182937554
530965,25,25,0.03,0.0692737430167597,0.0692737430167597,1.0,0.1295715778474399
530965,25,25,0.04,0.035754189944134,0.035754189944134,1.0,0.0690399137001078
530965,25,25,0.05,0.0189944134078212,0.0189944134078212,1.0,0.0372807017543859
500180,25,32,0.01,0.1950947603121516,0.1950947603121516,1.0,0.3264925373134328
500180,25,25,0.02,0.0746934225195094,0.0746934225195094,1.0,0.1390041493775933
500180,25,25,0.03,0.0390189520624303,0.0390189520624303,1.0,0.075107296137339
500180,25,25,0.04,0.0211817168338907,0.0211817168338907,1.0,0.0414847161572052
500180,25,25,0.05,0.0211817168338907,0.0211817168338907,1.0,0.0414847161572052
