units,epochs,batch_size,direction,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
25,100,25,0.5133630289532294,0.2926501378655882,0.027610278154720308,0.08564410319274779,-0.0007435525199253058
100,50,48,0.5295429208472687,0.03418395952722514,0.013859554245318165,0.0011685430889589665,-0.020881063789483626
25,100,25,0.5177777777777778,0.02035646129008496,0.014430540453873356,0.00041438551625472736,-0.07578136902187982
100,100,25,0.5350389321468298,0.019454292024525702,0.013072405350501514,0.0003784694781755244,-0.05893902998781275
75,100,64,0.5094549499443827,0.02116588712528536,0.015374772090652643,0.0004479947778003205,-0.03181566345087816
100,100,64,0.5125,0.017464056869144498,0.01214200571813942,0.00030499328232871313,-0.03978336094890711
50,100,32,0.5502232142857143,0.04124779306479286,0.014870505178447591,0.0017013804327159743,0.07255738059635009
100,25,25,0.5441340782122905,0.0550544628219174,0.018582169021355798,0.003030993876609885,0.03689373907419957
100,75,25,0.5155902004454342,0.13656601659725018,0.02329625605723639,0.01865027688924041,0.008580714786989518
50,75,64,0.5518433179723502,0.023315374785178443,0.015745816977915418,0.0005436067013733347,-0.007538592593334449
50,25,48,0.4987980769230769,0.05354088017478637,0.01607776791767815,0.002866625849890832,-0.01752817311598953
