company,Open Price,High Price,Low Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
gr500112,0.875946,-0.04116,0.100697,0.064066,-8e-06,0.000416,-0.0,5e-06,0.140324,0.724055,9.185882
gr500180,0.140703,0.125933,0.116718,0.616187,-1e-05,-0.00031,-0.0,2.3e-05,-0.028889,0.320387,3.203855
gr500182,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0
gr500209,-0.172014,0.295981,0.28142,0.594101,1e-06,-5.4e-05,0.0,-2e-06,-0.002392,0.00245,0.037702
gr500325,-0.239092,0.457957,0.387422,0.392495,1e-06,-1.5e-05,-0.0,-0.0,0.007578,0.011886,0.118557
gr500680,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0
gr507685,0.187928,0.142687,0.097953,0.570566,0.0,3e-06,-0.0,0.0,0.002868,0.004435,0.153178
gr530965,-0.046876,0.124065,0.115081,0.807596,0.0,-3e-05,-0.0,-0.0,0.002315,0.000953,0.059824
gr532174,0.668908,0.072728,0.026695,0.230866,-2e-06,0.000111,0.0,1e-06,0.074222,-0.088357,3.38837
gr532210,0.927876,-0.059508,0.107953,0.023757,0.0,-2.1e-05,-0.0,-0.0,0.000138,0.072944,0.836977
gr532540,0.271834,0.145888,0.093536,0.488011,-1e-06,-9e-06,0.0,0.0,0.001192,-0.008348,0.313732
