company,Open Price,High Price,Low Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
gr500112,0.859388,-0.033889,0.103027,0.070946,-9e-06,0.000331,-0.0,6e-06,0.11607,0.71834,9.084646
gr500180,0.111109,0.128058,0.111015,0.649267,-0.0,-0.000618,-0.0,2.2e-05,-0.065342,0.288567,2.984352
gr500182,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0
gr500209,-0.229153,0.341475,0.375629,0.512259,1e-06,-4.1e-05,0.0,-2e-06,-0.000677,0.006352,0.037799
gr500325,-0.278226,0.45242,0.430554,0.394406,1e-06,-1.9e-05,-0.0,-0.0,0.006209,0.024996,0.112441
gr500680,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0
gr507685,0.136819,0.143186,0.132503,0.586311,0.0,1.5e-05,-0.0,0.0,0.003078,0.004307,0.150056
gr530965,-0.036804,0.100067,0.105504,0.831186,0.0,-2.7e-05,-0.0,-0.0,0.002448,0.002472,0.058488
gr532174,0.621169,0.11906,0.004834,0.253964,-1e-06,7.7e-05,-0.0,1e-06,0.063648,-0.221987,3.232057
gr532210,0.929765,-0.045902,0.103453,0.012684,0.0,-1.3e-05,-0.0,-0.0,0.000208,0.067524,0.845155
gr532540,0.282955,0.173626,0.08528,0.457012,-2e-06,-2.7e-05,0.0,-0.0,-0.003234,-0.012936,0.329854
gr500112,0.859388,-0.033889,0.103027,0.070946,-9e-06,0.000331,-0.0,6e-06,0.11607,0.71834,9.084646
gr500180,0.111109,0.128058,0.111015,0.649267,-0.0,-0.000618,-0.0,2.2e-05,-0.065342,0.288567,2.984352
gr500182,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,1.0
gr500209,-0.229153,0.341475,0.375629,0.512259,1e-06,-4.1e-05,0.0,-2e-06,-0.000677,0.006352,0.037799
gr500325,-0.278226,0.45242,0.430554,0.394406,1e-06,-1.9e-05,-0.0,-0.0,0.006209,0.024996,0.112441
gr500680,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.0
gr507685,0.136819,0.143186,0.132503,0.586311,0.0,1.5e-05,-0.0,0.0,0.003078,0.004307,0.150056
gr530965,-0.036804,0.100067,0.105504,0.831186,0.0,-2.7e-05,-0.0,-0.0,0.002448,0.002472,0.058488
gr532174,0.621169,0.11906,0.004834,0.253964,-1e-06,7.7e-05,-0.0,1e-06,0.063648,-0.221987,3.232057
gr532210,0.929765,-0.045902,0.103453,0.012684,0.0,-1.3e-05,-0.0,-0.0,0.000208,0.067524,0.845155
gr532540,0.282955,0.173626,0.08528,0.457012,-2e-06,-2.7e-05,0.0,-0.0,-0.003234,-0.012936,0.329854
