security id,name
500085,CHAMBAL FERTILISERS & CHEMICALS LTD
500112,SBIN
500124,DR.REDDY'S LABORATORIES LTD
500180,HDFC Bank Ltd
500182,HERO MOTOCORP LTD
500209,INFOSYS LTD
500325,RELIANCE INDUSTRIES LTD
500387,SHREE CEMENT LTD
500680,PFIZER LTD
500770,TATA CHEMICALS LTD
500790,NESTLE INDIA LTD
500825,BRITANNIA INDUSTRIES LTD
501425,BOMBAY BURMAH TRADING CORP.LTD
506395,COROMANDEL INTERNATIONAL LTD
507685,WIPRO LTD
524715,SUN PHARMACEUTICAL INDUSTRIES LTD
532163,SAREGAMA INDIA LTD
532174,ICICI BANK LTD
532210,CITY UNION BANK LTD
532488,DIVI'S LABORATORIES LTD
532538,ULTRATECH CEMENT LTD
532540,TATA CONSULTANCY SERVICES LTD
532689,PVR LTD
532899,KAVERI SEED COMPANY LTD
533155,Jubilant FoodWorks Ltd
533260,CAREER POINT LTD
533287,ZEE LEARN LTD
537291,Nath Bio Genes (India) Ltd
539921,Shanti Educational Initiatives Ltd
542602,Embassy Office Parks REIT
500425,AMBUJA CEMENTS LTD
543217,Mindspace Business Parks REIT
543261,Brookfield India Real Estate Trust REIT
530965,INDIAN OIL CORPORATION LTD
532706,INOX LEISURE LTD
